Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
reita,Murash Gaming,232,"['jett', 'sova', 'killjoy', 'omen', 'skye']",298,0.91,189.1,0.89,69%,127.9,0.65,0.28,0.07,0.09,28%,N/A,,,195,220,84,22,26
rglmeister,Unknown,165,"['omen', 'viper', 'astra', 'brimstone', 'harbor']",441,1.00,187.7,0.91,72%,126.1,0.66,0.39,0.05,0.05,22%,16%,,,290,318,170,20,20
rhyme,Unknown,309,"['raze', 'cypher', 'sova', 'omen', 'kayo']",756,0.85,164.9,0.80,70%,109.9,0.58,0.40,0.06,0.11,31%,13%,,,439,552,300,46,80
rin,Unknown,225,"['omen', 'astra', 'viper', 'breach', 'brimstone']",585,0.79,157.6,0.81,66%,91.9,0.57,0.36,0.05,0.07,23%,8%,,,334,410,212,12,17
runi,Cloud9,490,"['sova', 'fade', 'breach', 'viper']",733,1.01,182.1,0.95,74%,122.7,0.64,0.32,0.06,0.05,27%,16%,,,470,493,237,47,36
s0m,NRG Esports,316,"['jett', 'omen', 'raze', 'astra', 'harbor']",1351,1.10,204.1,1.14,77%,130.5,0.75,0.39,0.08,0.07,25%,18%,,,1008,884,525,105,98
saadhak,LOUD,283,"['kayo', 'cypher', 'killjoy', 'viper', 'breach']",1504,0.92,190.0,0.87,72%,124.7,0.61,0.41,0.11,0.14,19%,14%,,,916,1053,613,164,206
sacy,Unknown,333,"['sova', 'skye', 'fade', 'breach', 'jett']",632,0.97,192.4,0.94,70%,127.6,0.68,0.35,0.08,0.08,31%,10%,,,427,453,223,49,51
sayaplayer,T1,299,"['jett', 'raze', 'omen', 'chamber']",960,1.10,233.6,1.17,70%,153.6,0.83,0.14,0.19,0.16,26%,22%,,,801,682,137,179,153
sayf,Team Vitality,306,"['jett', 'cypher', 'killjoy', 'raze', 'viper']",942,1.17,243.8,1.22,72%,156.5,0.85,0.21,0.17,0.14,23%,15%,,,802,658,202,161,134
scream,Unknown,322,"['jett', 'reyna', 'raze', 'phoenix', 'sage']",574,1.02,227.5,1.01,70%,153.1,0.79,0.23,0.19,0.16,30%,7%,,,451,446,132,110,94
seoldam,RIDDLE ORDER,130,"['jett', 'skye', 'gekko']",269,0.88,213.9,0.88,67%,130.9,0.71,0.17,0.22,0.21,17%,N/A,,,192,218,46,60,57
sh1n,Karmine Corp,251,"['astra', 'omen', 'sova', 'viper']",574,0.94,180.1,0.91,70%,115.4,0.63,0.32,0.08,0.06,29%,16%,,,363,401,184,45,37
shao,Natus Vincere,393,"['sova', 'fade', 'sage', 'astra', 'raze']",1003,1.13,198.4,1.17,76%,131.2,0.71,0.31,0.07,0.06,35%,22%,,,717,614,313,72,58
sheydos,KOI,285,"['sage', 'raze', 'skye', 'killjoy', 'viper']",585,1.09,188.7,1.09,73%,125.9,0.71,0.24,0.05,0.05,28%,19%,,,416,380,143,30,32
shyy,KRÜ Esports,152,"['killjoy', 'cypher', 'skye', 'fade', 'viper']",915,1.03,193.9,1.02,72%,133.7,0.68,0.25,0.09,0.06,21%,10%,,,622,609,228,85,51
skrossi,Revenant Esports,398,"['jett', 'chamber', 'sova']",302,0.85,189.6,0.87,67%,122.1,0.67,0.21,0.10,0.15,23%,22%,,,201,232,62,31,45
