Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
harmonee,ALTERNATE aTTaX Ruby,111,"['sova', 'fade', 'skye', 'breach']",340,0.86,162.3,0.79,69%,112.2,0.57,0.29,0.06,0.09,28%,20%,,,193,244,100,22,32
healing,DRX Changers,80,"['kayo', 'jett', 'raze', 'breach', 'skye']",284,0.94,208.1,0.94,71%,130.5,0.71,0.40,0.12,0.13,14%,11%,,,203,217,115,34,37
hina,Unknown,48,"['omen', 'killjoy', 'viper', 'cypher']",248,0.77,157.1,0.70,59%,107.0,0.54,0.22,0.05,0.08,27%,3%,,,135,194,55,12,20
iczy,Last Second,90,"['omen', 'brimstone', 'sage', 'harbor']",1213,0.87,160.1,0.82,71%,105.4,0.58,0.39,0.03,0.08,24%,14%,,,705,859,468,36,94
ikyoo,AEX-1 Nova,139,"['jett', 'raze', 'chamber', 'reyna', 'yoru']",268,0.87,204.4,0.89,66%,136.6,0.72,0.18,0.15,0.19,18%,N/A,,,193,217,47,41,51
inari,Last9,87,"['breach', 'omen', 'skye', 'viper', 'sova']",382,0.93,168.8,0.82,71%,110.6,0.58,0.43,0.06,0.04,32%,21%,,,222,272,164,22,17
isa1,Team Leveling,294,"['jett', 'raze', 'chamber', 'gekko', 'skye']",613,0.91,195.0,0.90,68%,131.5,0.68,0.19,0.14,0.18,18%,11%,,,418,464,115,87,112
isaa,Team Liquid Brazil,400,"['jett', 'viper', 'killjoy', 'sova', 'skye']",1374,0.98,191.9,1.02,71%,127.7,0.66,0.26,0.10,0.09,23%,11%,,,907,892,362,132,120
itnothan,Unknown,278,"['sova', 'breach', 'sage', 'kayo', 'skye']",535,1.00,187.8,0.90,75%,123.2,0.64,0.48,0.05,0.04,21%,7%,,,344,384,259,25,23
ivory,4Fun,163,"['killjoy', 'omen', 'viper', 'kayo', 'astra']",563,0.97,213.0,0.99,70%,135.5,0.74,0.24,0.11,0.12,16%,16%,,,417,420,137,64,67
ivy,Akave Esports GC,147,"['raze', 'skye', 'kayo', 'jett', 'gekko']",332,1.10,209.5,1.04,75%,142.3,0.71,0.39,0.11,0.11,31%,9%,,,235,225,129,36,35
ixela,Ketçaplı Ruffles,99,"['omen', 'breach', 'viper', 'skye', 'kayo']",205,1.03,189.1,0.99,72%,122.0,0.68,0.49,0.05,0.07,25%,12%,,,140,142,101,11,14
ixhsq,Underground Starlets,35,"['omen', 'viper', 'skye', 'sova', 'fade']",215,0.95,178.5,0.89,63%,127.5,0.66,0.19,0.07,0.06,32%,11%,,,142,160,41,15,12
izze,invincible gc,156,"['killjoy', 'sova', 'skye', 'cypher']",677,1.03,203.0,1.03,72%,138.3,0.69,0.23,0.07,0.07,18%,16%,,,470,457,154,48,46
jademwah,Odd 1 OUT,250,"['sova', 'jett', 'skye', 'breach', 'viper']",1060,1.07,214.4,1.06,75%,136.9,0.74,0.40,0.10,0.09,22%,13%,,,780,734,429,103,91
