Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
2ge,Team Secret,178,"['astra', 'viper', 'omen', 'skye']",246,1.10,198.3,1.08,74%,128.4,0.70,0.36,0.09,0.07,30%,23%,,,172,159,89,21,16
aaaay,FunPlus Phoenix,272,"['skye', 'gekko', 'chamber', 'fade', 'jett']",1453,0.86,189.5,1.03,67%,126.8,0.70,0.25,0.06,0.05,31%,6%,,,1023,997,359,50,41
abo,Titan Esports Club,133,"['viper', 'chamber', 'jett', 'raze', 'killjoy']",653,N/A,211.0,0.99,N/A,145.6,0.74,0.18,0.17,0.16,N/A,N/A,,,486,492,115,35,33
ac,Titan Esports Club,219,"['viper', 'skye', 'chamber', 'killjoy', 'astra']",356,N/A,197.8,1.03,N/A,128.1,0.71,0.35,0.04,0.08,N/A,N/A,,,252,245,126,9,17
alfajer,FNATIC,294,"['killjoy', 'raze', 'cypher', 'chamber', 'viper']",1550,1.10,218.3,1.17,73%,146.1,0.78,0.21,0.11,0.10,29%,12%,,,1208,1033,321,171,148
aluba,Wolves Esports,128,"['viper', 'killjoy', 'cypher', 'omen', 'kayo']",487,N/A,195.6,0.97,N/A,114.4,0.70,0.32,0.09,0.06,N/A,N/A,,,340,351,155,13,9
ange1,Natus Vincere,332,"['omen', 'brimstone', 'viper', 'sova']",760,0.81,172.0,0.80,66%,116.3,0.60,0.29,0.10,0.12,33%,7%,,,454,570,218,78,89
anthem,DetonatioN FocusMe,118,"['jett', 'skye', 'sova', 'raze', 'killjoy']",555,0.80,154.0,0.72,71%,104.0,0.54,0.30,0.05,0.10,24%,11%,,,297,411,168,27,53
apoth,Evil Geniuses,452,"['astra', 'viper', 'sage', 'omen', 'brimstone']",595,0.87,179.3,0.85,62%,122.8,0.62,0.23,0.09,0.15,35%,18%,,,366,430,138,55,88
ardiis,Natus Vincere,364,"['sova', 'jett', 'chamber', 'raze', 'kayo']",760,1.05,212.0,1.04,72%,139.4,0.77,0.33,0.13,0.12,22%,21%,,,583,558,249,101,89
artzin,MIBR,126,"['jett', 'raze', 'neon', 'sova', 'sage']",699,0.97,211.5,0.96,67%,139.2,0.73,0.20,0.13,0.14,26%,17%,,,512,536,137,92,95
aspas,LEVIATÁN,342,"['jett', 'raze', 'reyna', 'neon']",1736,1.26,250.9,1.37,75%,164.8,0.90,0.18,0.18,0.11,29%,14%,,,1559,1136,311,309,195
asuna,100 Thieves,434,"['raze', 'reyna', 'kayo', 'phoenix', 'skye']",1139,1.01,214.3,1.00,74%,136.9,0.72,0.36,0.13,0.14,19%,16%,,,822,821,411,151,159
atakaptan,FUT Esports,318,"['viper', 'omen', 'brimstone', 'astra']",1219,0.95,190.5,0.93,71%,121.1,0.66,0.37,0.08,0.12,26%,11%,,,807,867,450,99,150
autumn,FunPlus Phoenix,348,"['jett', 'raze', 'chamber', 'cypher', 'viper']",1453,1.05,212.1,1.08,70%,138.4,0.74,0.26,0.11,0.07,30%,19%,,,1081,1003,372,102,65
