Player,Team,Agent,Usage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,ADPR,KAST,KPR,APR,FKPR,FDPR,Kills,Deaths,Assists,FirstBloods,FirstDeaths,Games,CleanedRating,AdjustedRating,SelflessIndex
biggiecheese,Arena Internet Cafe,kayo,14.0,503,1.05,204.3,0.96,133.0,76%,0.66,0.61,0.09,0.09,333,346,308,47,43,25,1.05,0.71,0.92
bipo,NOVO Esports,jett,36.0,1567,1.14,247.5,1.22,155.2,71%,0.88,0.13,0.23,0.17,1382,1131,207,359,270,77,1.14,0.91,0.15
bipo,NOVO Esports,yoru,15.0,715,1.04,211.5,1.10,138.9,72%,0.77,0.22,0.14,0.17,553,501,159,99,118,33,1.04,0.74,0.29
bipo,NOVO Esports,raze,14.0,618,1.04,237.0,1.04,159.0,68%,0.81,0.21,0.19,0.20,499,479,131,117,122,30,1.04,0.72,0.26
bipo,NOVO Esports,kayo,11.0,508,1.09,209.1,1.07,132.0,77%,0.74,0.49,0.10,0.08,374,348,247,53,42,24,1.09,0.73,0.66
bjor,Unknown,killjoy,34.0,5023,1.1,220.9,1.18,146.5,74%,0.77,0.21,0.09,0.09,3870,3273,1053,454,434,241,1.1,1.01,0.27
bjor,Unknown,omen,17.0,2427,1.13,208.8,1.16,133.9,77%,0.74,0.41,0.08,0.06,1794,1541,983,195,153,119,1.13,0.95,0.55
bjor,Unknown,cypher,14.0,2019,1.05,204.0,1.08,132.8,71%,0.73,0.24,0.08,0.09,1467,1354,481,166,158,99,1.05,0.86,0.33
bjor,Unknown,viper,12.0,1803,1.12,214.3,1.16,140.5,75%,0.75,0.33,0.09,0.08,1353,1169,598,156,138,88,1.12,0.91,0.44
blackhawk,Asmodeus Colosseum,astra,27.0,2951,1.02,189.2,1.04,126.2,72%,0.7,0.27,0.07,0.08,2067,1993,805,204,239,141,1.02,0.88,0.39
blackhawk,Asmodeus Colosseum,omen,15.0,1676,0.99,184.4,0.96,119.7,73%,0.66,0.35,0.08,0.08,1099,1140,590,127,134,80,0.99,0.79,0.53
blackheart,Unknown,sova,48.0,5686,1.16,215.9,1.15,146.0,76%,0.73,0.38,0.08,0.05,4160,3624,2168,427,286,278,1.16,1.08,0.52
blackheart,Unknown,fade,21.0,2488,1.13,215.4,1.15,136.6,76%,0.76,0.4,0.07,0.05,1891,1638,986,179,128,121,1.13,0.95,0.53
blackwiz,NOEZ FOXX,viper,38.0,1654,0.94,189.6,0.98,122.6,70%,0.66,0.28,0.08,0.09,1090,1113,455,130,157,80,0.94,0.75,0.42
blackwiz,NOEZ FOXX,omen,32.0,1396,0.94,188.5,0.94,118.9,73%,0.67,0.39,0.07,0.09,933,988,541,101,127,69,0.94,0.74,0.58
blackwiz,NOEZ FOXX,astra,13.0,539,1.0,187.6,1.06,123.1,72%,0.69,0.32,0.07,0.09,370,348,172,37,46,27,1.0,0.68,0.46
blahst,Painguins,omen,21.0,3808,1.1,209.1,1.12,131.8,75%,0.74,0.43,0.07,0.07,2812,2511,1642,283,251,187,1.1,0.98,0.58
blahst,Painguins,killjoy,16.0,2940,1.08,206.9,1.13,140.9,71%,0.74,0.17,0.08,0.06,2171,1913,505,238,172,140,1.08,0.93,0.23
blahst,Painguins,jett,12.0,2284,1.15,242.0,1.27,152.1,73%,0.86,0.15,0.21,0.16,1963,1551,348,476,355,112,1.15,0.96,0.17
blazek1ng,Global Esports,sova,53.0,4851,1.08,210.3,1.12,138.3,73%,0.72,0.32,0.09,0.08,3500,3118,1542,434,400,229,1.08,0.99,0.44
bld,Unknown,sage,36.0,2926,1.09,208.1,1.09,136.4,73%,0.75,0.3,0.11,0.11,2191,2010,876,311,278,140,1.09,0.94,0.4
bld,Unknown,killjoy,23.0,1883,1.06,212.1,1.10,141.9,70%,0.75,0.16,0.09,0.08,1410,1282,304,169,142,89,1.06,0.86,0.21
bld,Unknown,cypher,14.0,1168,1.01,201.0,1.00,129.8,69%,0.71,0.19,0.11,0.09,835,833,221,124,108,55,1.01,0.77,0.27
bld,Unknown,chamber,12.0,1032,1.09,229.7,1.22,147.8,68%,0.83,0.12,0.17,0.13,852,700,124,173,135,48,1.09,0.82,0.14
bless,Astane Anarchy,sova,38.0,1572,1.01,198.3,1.02,134.6,70%,0.72,0.23,0.08,0.08,1124,1101,355,125,131,78,1.01,0.8,0.32
bless,Astane Anarchy,omen,17.0,686,1.0,206.6,0.97,129.5,71%,0.73,0.34,0.09,0.10,501,516,230,65,68,34,1.0,0.71,0.47
bless,Astane Anarchy,jett,14.0,576,0.93,211.4,0.92,136.2,64%,0.75,0.15,0.21,0.20,430,466,89,119,114,28,0.93,0.64,0.2
blitzen,Unknown,jett,54.0,2205,1.07,232.3,1.15,141.4,71%,0.82,0.16,0.19,0.15,1808,1573,349,424,325,109,1.07,0.89,0.2
blitzen,Unknown,cypher,15.0,627,1.04,192.5,1.14,130.3,68%,0.73,0.19,0.06,0.06,460,405,116,35,39,30,1.04,0.72,0.26
blurred,Geek Fam,jett,46.0,1830,1.02,220.2,1.09,139.9,70%,0.79,0.19,0.18,0.16,1437,1319,340,328,288,86,1.02,0.83,0.24
blurred,Geek Fam,chamber,14.0,565,1.05,205.3,1.12,131.2,68%,0.76,0.09,0.12,0.10,432,387,52,67,59,27,1.05,0.72,0.12
blurred,Geek Fam,raze,12.0,519,1.04,232.7,1.04,150.8,72%,0.78,0.25,0.11,0.13,403,386,129,59,69,23,1.04,0.7,0.32
bmv,Unicorn Cyber Esports,breach,20.0,934,1.04,176.4,1.01,115.4,77%,0.64,0.39,0.03,0.05,600,594,362,32,48,46,1.04,0.77,0.61
bmv,Unicorn Cyber Esports,cypher,14.0,680,1.01,196.4,1.02,124.9,72%,0.7,0.22,0.06,0.06,473,465,150,44,39,32,1.01,0.71,0.31
bonobo,FOCUSGG,jett,44.0,860,1.02,215.2,1.07,141.0,70%,0.77,0.17,0.17,0.14,662,618,143,146,122,42,1.02,0.74,0.22
bonobo,FOCUSGG,raze,26.0,543,1.08,235.3,1.18,154.4,73%,0.82,0.19,0.14,0.14,445,377,101,77,70,25,1.08,0.73,0.23
boogeyyy,Stream Raiders Nacague,killjoy,17.0,334,1.13,232.5,1.15,159.3,74%,0.81,0.17,0.14,0.08,272,236,57,47,26,15,1.13,0.71,0.21
boogeyyy,Stream Raiders Nacague,sage,17.0,313,1.23,241.6,1.33,159.9,75%,0.89,0.32,0.08,0.10,279,209,99,24,30,15,1.23,0.76,0.36
boogeyyy,Stream Raiders Nacague,jett,16.0,303,1.01,228.0,1.08,150.6,73%,0.82,0.16,0.13,0.12,248,230,48,38,35,14,1.01,0.62,0.2
boogeyyy,Stream Raiders Nacague,sova,13.0,240,1.06,205.1,1.05,136.8,70%,0.74,0.25,0.06,0.08,178,169,60,14,20,11,1.06,0.63,0.34
boogeyyy,Stream Raiders Nacague,phoenix,12.0,206,1.31,264.5,1.37,173.3,75%,0.95,0.27,0.14,0.09,196,143,55,29,19,10,1.31,0.75,0.28
boogie,Unknown,killjoy,28.0,330,0.91,206.1,0.85,138.7,66%,0.68,0.2,0.10,0.14,224,265,66,33,46,16,0.91,0.57,0.29
boogie,Unknown,sova,25.0,311,0.91,181.6,0.91,119.0,68%,0.65,0.25,0.08,0.11,202,221,78,26,35,14,0.91,0.56,0.38
boogie,Unknown,raze,12.0,158,1.06,243.4,1.16,149.5,70%,0.85,0.21,0.20,0.15,134,116,33,32,24,7,1.06,0.58,0.25
boogie,Unknown,sage,11.0,134,0.77,170.8,0.74,111.3,69%,0.55,0.4,0.05,0.22,74,100,54,7,29,6,0.77,0.41,0.73
boogie,Unknown,reyna,11.0,130,0.93,231.2,0.92,148.0,72%,0.75,0.22,0.17,0.13,98,107,29,22,17,6,0.93,0.49,0.29
boom,Unknown,chamber,28.0,1068,1.17,237.3,1.28,152.5,73%,0.84,0.16,0.16,0.11,900,702,166,173,118,53,1.17,0.88,0.19
