Player,Team,Agent,Usage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,ADPR,KAST,KPR,APR,FKPR,FDPR,Kills,Deaths,Assists,FirstBloods,FirstDeaths,Games,CleanedRating,AdjustedRating,SelflessIndex
gotten,Alter Ego,omen,36.0,1067,1.08,192.5,1.11,124.1,78%,0.69,0.44,0.08,0.07,732,660,473,90,71,51,1.08,0.81,0.64
gotten,Alter Ego,skye,24.0,756,1.07,197.3,1.03,127.5,74%,0.71,0.44,0.06,0.08,537,520,333,47,61,34,1.07,0.77,0.62
gotten,Alter Ego,breach,14.0,422,1.03,193.5,0.95,122.0,76%,0.67,0.47,0.04,0.06,282,297,197,17,24,20,1.03,0.67,0.7
governor,Talon Esports,jett,27.0,4676,1.11,249.6,1.23,151.8,72%,0.88,0.17,0.22,0.16,4122,3352,772,1019,756,228,1.11,1.01,0.19
governor,Talon Esports,sova,22.0,3931,1.04,214.6,1.04,146.4,74%,0.72,0.34,0.09,0.09,2817,2712,1326,360,344,189,1.04,0.93,0.47
governor,Talon Esports,raze,14.0,2394,1.06,249.0,1.11,158.7,72%,0.82,0.22,0.21,0.15,1974,1776,521,507,361,117,1.06,0.89,0.27
grmekista,Unknown,killjoy,18.0,1230,1.06,190.8,1.09,132.7,72%,0.66,0.19,0.07,0.07,816,750,235,81,88,58,1.06,0.81,0.29
grmekista,Unknown,cypher,17.0,1118,1.17,214.5,1.29,140.3,75%,0.79,0.25,0.10,0.08,881,685,284,108,84,57,1.17,0.89,0.32
grmekista,Unknown,chamber,15.0,1025,1.2,227.1,1.29,147.5,72%,0.83,0.15,0.16,0.11,846,657,151,160,116,50,1.2,0.9,0.18
grtw,Unknown,killjoy,43.0,1403,1.05,204.1,1.10,138.3,73%,0.72,0.17,0.08,0.07,1017,927,233,111,94,68,1.05,0.82,0.24
grtw,Unknown,cypher,17.0,523,1.07,216.4,1.12,140.6,72%,0.75,0.24,0.11,0.09,391,350,125,56,46,26,1.07,0.72,0.32
grtw,Unknown,viper,11.0,356,1.1,206.2,1.14,138.3,74%,0.73,0.32,0.06,0.07,260,229,114,22,24,17,1.1,0.7,0.44
grubinho,KOI,sova,22.0,2115,1.14,217.0,1.11,140.8,76%,0.73,0.36,0.07,0.06,1540,1388,761,154,137,100,1.14,0.94,0.49
grubinho,KOI,omen,13.0,1267,1.11,198.5,1.12,126.5,75%,0.71,0.39,0.09,0.07,898,805,496,108,94,60,1.11,0.86,0.55
grubinho,KOI,astra,12.0,1198,1.13,206.8,1.20,133.2,76%,0.77,0.28,0.08,0.08,920,769,336,97,97,57,1.13,0.87,0.36
grubinho,KOI,breach,12.0,1161,1.01,187.9,1.05,120.2,73%,0.67,0.4,0.07,0.07,776,740,464,78,87,56,1.01,0.77,0.6
gtn,Unknown,raze,26.0,1466,0.99,231.0,1.14,146.2,75%,0.77,0.26,0.13,0.11,1129,993,378,187,159,72,0.99,0.78,0.34
gtn,Unknown,kayo,15.0,898,1.04,212.3,1.02,133.5,74%,0.71,0.49,0.10,0.11,634,623,440,86,98,42,1.04,0.76,0.69
gtn,Unknown,sage,13.0,765,0.99,193.1,1.05,123.1,74%,0.67,0.29,0.09,0.09,515,490,220,70,62,37,0.99,0.71,0.43
gtn,Unknown,omen,11.0,586,0.84,191.8,0.96,128.3,75%,0.68,0.22,0.11,0.10,400,418,126,60,55,29,0.84,0.58,0.32
guardy,Barça eSports,skye,27.0,1474,1.04,203.5,1.06,136.0,74%,0.73,0.28,0.08,0.08,1070,1006,418,118,122,68,1.04,0.82,0.38
guardy,Barça eSports,kayo,17.0,901,0.99,203.4,0.92,128.8,74%,0.68,0.47,0.09,0.09,616,669,427,77,77,43,0.99,0.73,0.69
guardy,Barça eSports,breach,13.0,688,1.13,220.1,1.11,141.8,76%,0.76,0.43,0.10,0.07,526,474,297,67,49,34,1.13,0.8,0.57
gucc107,West Virginia University,omen,38.0,7650,1.05,207.7,1.06,130.9,75%,0.73,0.4,0.08,0.07,5599,5265,3028,615,545,373,1.05,1.01,0.55
gucc107,West Virginia University,astra,19.0,3784,1.12,209.2,1.18,135.4,76%,0.76,0.39,0.08,0.06,2872,2432,1480,290,230,186,1.12,1.0,0.51
gucc107,West Virginia University,viper,16.0,3236,1.0,192.3,0.99,126.2,71%,0.67,0.33,0.06,0.07,2172,2187,1066,194,233,154,1.0,0.87,0.49
guhrvn,Hero Base,omen,39.0,3165,1.05,189.9,1.04,121.8,75%,0.66,0.38,0.06,0.07,2098,2024,1210,205,219,152,1.05,0.91,0.58
guhrvn,Hero Base,astra,20.0,1630,1.04,189.0,1.06,124.1,73%,0.7,0.3,0.06,0.08,1149,1084,496,91,130,80,1.04,0.83,0.43
guhrvn,Hero Base,brimstone,18.0,1441,1.09,203.6,1.09,129.7,75%,0.7,0.35,0.09,0.05,1015,928,502,125,79,69,1.09,0.86,0.5
guhrvn,Hero Base,viper,12.0,1048,1.08,197.4,1.10,129.3,73%,0.69,0.29,0.06,0.07,724,656,302,64,76,49,1.08,0.81,0.42
guuih,Stellae Gaming,killjoy,39.0,2548,1.07,196.4,1.14,133.9,72%,0.69,0.16,0.07,0.06,1769,1555,397,180,163,119,1.07,0.91,0.23
guuih,Stellae Gaming,viper,27.0,1753,1.09,203.0,1.13,135.4,75%,0.71,0.29,0.06,0.07,1245,1105,513,109,122,83,1.09,0.88,0.41
guuih,Stellae Gaming,cypher,23.0,1486,1.05,187.7,1.06,126.5,73%,0.67,0.24,0.08,0.06,994,942,355,117,93,71,1.05,0.83,0.36
h1ber,NOVO Esports,raze,34.0,2761,1.13,270.4,1.17,173.3,72%,0.88,0.26,0.19,0.15,2442,2092,716,516,397,134,1.13,0.97,0.3
h1ber,NOVO Esports,jett,27.0,2191,1.06,242.2,1.15,153.4,70%,0.84,0.18,0.21,0.19,1850,1614,386,456,415,105,1.06,0.88,0.21
h1ber,NOVO Esports,reyna,11.0,903,1.06,249.2,1.09,158.9,69%,0.84,0.22,0.18,0.16,761,698,195,167,142,42,1.06,0.78,0.26
haitam,Unknown,breach,28.0,461,0.88,187.5,0.86,120.9,71%,0.66,0.4,0.07,0.09,306,357,184,32,41,22,0.88,0.58,0.61
haitam,Unknown,kayo,21.0,347,1.07,222.0,1.06,144.4,78%,0.77,0.49,0.09,0.09,266,251,171,32,31,17,1.07,0.68,0.64
haitam,Unknown,skye,16.0,261,0.92,181.0,0.89,115.5,73%,0.62,0.46,0.08,0.09,163,183,121,21,23,13,0.92,0.55,0.74
hanling,Zen eSports,jett,23.0,926,1.12,240.8,1.19,148.6,69%,0.84,0.17,0.18,0.16,775,650,154,163,147,42,1.12,0.83,0.2
hanling,Zen eSports,skye,19.0,743,1.01,191.7,1.02,127.2,71%,0.69,0.31,0.07,0.07,515,504,232,49,49,35,1.01,0.72,0.45
hanling,Zen eSports,breach,17.0,676,0.94,172.3,0.88,114.4,74%,0.59,0.43,0.05,0.06,402,458,293,37,39,31,0.94,0.66,0.73
hanling,Zen eSports,kayo,17.0,631,1.03,193.5,0.94,129.9,71%,0.66,0.46,0.07,0.08,418,447,289,44,53,31,1.03,0.72,0.7
hann,Unknown,jett,65.0,2991,1.12,253.8,1.19,158.5,70%,0.88,0.17,0.20,0.16,2630,2213,515,611,483,145,1.12,0.97,0.19
hann,Unknown,neon,13.0,583,1.06,243.1,1.11,156.1,69%,0.82,0.19,0.16,0.14,478,430,110,92,81,29,1.06,0.73,0.23
happen,Permitta Unicorns,sova,56.0,3568,1.07,205.9,1.03,139.0,73%,0.7,0.33,0.06,0.07,2503,2439,1162,231,235,171,1.07,0.95,0.47
happen,Permitta Unicorns,fade,16.0,998,1.15,212.0,1.19,139.0,77%,0.76,0.37,0.07,0.05,754,631,372,65,52,50,1.15,0.86,0.49
happen,Permitta Unicorns,sage,11.0,758,1.0,183.4,0.99,120.0,73%,0.65,0.34,0.09,0.09,494,500,260,70,67,34,1.0,0.72,0.52
harmful,Unknown,jett,46.0,5231,1.08,244.1,1.16,151.9,69%,0.86,0.15,0.21,0.18,4515,3887,799,1121,918,254,1.08,1.0,0.17
harmful,Unknown,chamber,31.0,3570,1.09,235.0,1.18,148.8,68%,0.85,0.13,0.18,0.14,3025,2562,481,641,503,170,1.09,0.96,0.15
harmful,Unknown,cypher,12.0,1324,1.06,223.1,1.14,146.5,69%,0.81,0.2,0.14,0.12,1067,932,267,180,160,64,1.06,0.82,0.25
harmon,Unknown,sova,72.0,8195,1.07,195.6,1.04,131.3,75%,0.65,0.38,0.06,0.05,5311,5130,3134,505,434,400,1.07,1.04,0.58
harmon,Unknown,breach,16.0,1887,1.02,192.0,1.01,122.3,76%,0.67,0.42,0.06,0.06,1262,1253,786,121,109,89,1.02,0.83,0.63
harry,Unknown,jett,43.0,351,1.06,239.3,1.10,155.5,70%,0.84,0.19,0.15,0.14,295,269,66,54,50,17,1.06,0.67,0.23
harry,Unknown,raze,28.0,219,1.24,273.3,1.25,180.6,75%,0.94,0.28,0.15,0.11,205,164,62,32,24,11,1.24,0.72,0.3
harry,Unknown,neon,23.0,192,0.96,211.1,1.01,136.2,71%,0.77,0.2,0.17,0.16,148,146,39,33,31,9,0.96,0.55,0.26
harshhh,Unknown,cypher,14.0,1044,0.99,196.7,1.08,124.8,69%,0.7,0.24,0.07,0.07,730,676,254,71,76,49,0.99,0.74,0.34
hatex,Unknown,astra,47.0,1846,1.03,203.8,1.03,132.9,72%,0.72,0.28,0.08,0.07,1338,1302,516,150,133,89,1.03,0.84,0.39
hatex,Unknown,omen,16.0,678,0.91,181.3,0.87,118.6,70%,0.63,0.4,0.06,0.10,426,491,274,38,70,31,0.91,0.64,0.63
hatex,Unknown,viper,15.0,621,1.0,194.6,0.95,130.4,68%,0.66,0.33,0.07,0.07,409,431,207,41,43,29,1.0,0.69,0.5
hate,Unknown,breach,24.0,1267,0.99,180.1,0.96,115.4,72%,0.65,0.42,0.04,0.06,819,850,530,57,82,60,0.99,0.76,0.65
hate,Unknown,cypher,21.0,1104,1.01,202.9,1.06,129.4,73%,0.72,0.22,0.10,0.10,792,746,239,110,102,52,1.01,0.76,0.31
hate,Unknown,skye,11.0,591,1.18,217.2,1.21,144.8,75%,0.8,0.31,0.07,0.07,472,391,184,40,39,28,1.18,0.81,0.39
havoc,FURIA,kayo,25.0,1136,1.0,219.7,1.01,140.6,72%,0.75,0.42,0.13,0.12,853,848,478,152,139,53,1.0,0.76,0.56
havoc,FURIA,raze,20.0,876,1.1,244.6,1.12,161.9,72%,0.82,0.23,0.18,0.17,722,644,202,157,150,42,1.1,0.81,0.28
havoc,FURIA,jett,19.0,862,1.06,234.8,1.17,147.1,68%,0.82,0.16,0.23,0.21,704,604,135,195,172,41,1.06,0.77,0.2
havoc,FURIA,skye,18.0,830,1.1,217.4,1.14,140.3,72%,0.78,0.32,0.10,0.11,644,567,264,85,91,38,1.1,0.8,0.41
haxtrax,Unknown,reyna,23.0,1150,1.25,256.5,1.29,167.3,71%,0.91,0.17,0.13,0.12,1043,810,195,149,141,55,1.25,0.95,0.19
haxtrax,Unknown,astra,18.0,889,1.16,218.8,1.25,145.3,73%,0.81,0.29,0.08,0.08,719,577,257,72,70,43,1.16,0.85,0.36
haxtrax,Unknown,jett,15.0,728,1.16,241.5,1.15,157.9,70%,0.86,0.16,0.18,0.15,623,542,113,132,108,36,1.16,0.83,0.19
hearthbeat,SweetNsour,omen,30.0,1985,0.95,178.4,0.89,116.1,71%,0.63,0.42,0.08,0.10,1244,1394,840,158,200,95,0.95,0.78,0.67
hearthbeat,SweetNsour,astra,25.0,1598,1.03,198.5,1.06,128.9,74%,0.71,0.36,0.10,0.11,1133,1073,569,159,176,78,1.03,0.82,0.51
hearthbeat,SweetNsour,viper,18.0,1127,1.03,203.0,1.02,135.1,74%,0.72,0.33,0.08,0.09,807,790,377,86,101,55,1.03,0.78,0.46
hearthbeat,SweetNsour,cypher,13.0,820,0.81,173.0,0.81,111.0,73%,0.6,0.23,0.08,0.10,496,613,192,65,82,39,0.81,0.59,0.38
hellff,Orangutan,astra,31.0,3779,1.1,204.0,1.19,130.8,75%,0.76,0.32,0.08,0.06,2859,2407,1198,287,243,186,1.1,0.98,0.42
hellff,Orangutan,cypher,15.0,1874,1.08,193.7,1.10,123.8,72%,0.7,0.22,0.08,0.07,1312,1194,404,141,126,92,1.08,0.88,0.31
hellff,Orangutan,viper,12.0,1447,1.05,201.3,1.08,132.0,71%,0.7,0.31,0.08,0.07,1007,932,450,116,105,71,1.05,0.83,0.44
hellff,Orangutan,sova,11.0,1308,1.04,201.6,1.05,135.0,72%,0.69,0.29,0.07,0.07,901,860,377,91,88,64,1.04,0.81,0.42
hellfull,ContraxScrub,cypher,46.0,1795,1.0,206.4,1.07,123.7,76%,0.73,0.26,0.10,0.09,1303,1217,458,184,169,92,1.0,0.81,0.36
hellfull,ContraxScrub,killjoy,21.0,884,0.93,190.4,0.92,127.9,69%,0.65,0.19,0.07,0.08,577,628,170,64,69,43,0.93,0.68,0.29
hemmorjay,Skulls Esports,jett,75.0,5682,1.0,226.7,1.09,141.5,68%,0.8,0.16,0.20,0.17,4572,4191,900,1123,954,277,1.0,0.93,0.2
hemmorjay,Skulls Esports,raze,18.0,1388,0.92,221.7,0.93,146.1,69%,0.73,0.23,0.13,0.15,1011,1088,319,177,208,67,0.92,0.72,0.32
hermes,Unknown,kayo,26.0,933,1.01,190.2,0.92,124.2,76%,0.63,0.58,0.08,0.10,591,642,537,74,91,43,1.01,0.75,0.92
hermes,Unknown,astra,17.0,524,1.01,189.9,1.01,121.2,73%,0.68,0.32,0.08,0.07,358,353,169,41,39,28,1.01,0.68,0.47
heynf,Cynical,jett,17.0,707,1.01,211.6,1.06,131.4,67%,0.74,0.14,0.17,0.13,526,495,102,123,92,34,1.01,0.72,0.19
heynf,Cynical,sage,12.0,476,1.04,192.9,1.04,126.2,71%,0.7,0.29,0.09,0.07,335,322,140,44,33,23,1.04,0.69,0.41
heynf,Cynical,raze,12.0,464,1.07,242.4,1.34,156.3,78%,0.87,0.23,0.10,0.08,402,301,106,46,39,23,1.07,0.71,0.26
heynf,Cynical,skye,11.0,446,1.08,204.3,1.10,128.1,71%,0.75,0.3,0.09,0.10,335,305,134,40,43,21,1.08,0.71,0.4
heynf,Cynical,breach,11.0,427,0.96,185.4,0.88,116.4,73%,0.65,0.42,0.05,0.07,277,314,180,22,31,21,0.96,0.63,0.65
hiroronn,ZETA DIVISION,killjoy,45.0,1553,1.1,213.3,1.19,140.1,73%,0.76,0.16,0.09,0.09,1188,1001,255,137,143,75,1.1,0.87,0.21
hiroronn,ZETA DIVISION,reyna,15.0,506,1.18,255.3,1.28,156.2,70%,0.89,0.2,0.15,0.13,448,351,102,75,66,25,1.18,0.79,0.22
hiroronn,ZETA DIVISION,cypher,11.0,378,1.03,189.3,1.02,120.5,72%,0.69,0.21,0.11,0.09,259,254,80,40,34,18,1.03,0.66,0.3
hiro,Unknown,raze,18.0,580,1.06,238.4,1.05,155.8,71%,0.79,0.2,0.17,0.16,461,437,116,98,94,27,1.06,0.73,0.25
hiro,Unknown,jett,13.0,428,0.97,218.1,1.04,138.1,70%,0.75,0.2,0.19,0.15,322,310,85,83,65,20,0.97,0.64,0.27
hiro,Unknown,cypher,12.0,385,1.14,215.8,1.26,139.9,71%,0.79,0.25,0.11,0.08,304,241,96,43,32,18,1.14,0.73,0.32
hiro,Unknown,fade,11.0,352,1.03,187.2,1.05,121.6,75%,0.66,0.37,0.06,0.08,233,221,129,21,29,17,1.03,0.65,0.56
hitch,ESC Gaming,sova,74.0,5358,1.06,216.4,1.07,141.7,73%,0.73,0.35,0.08,0.08,3900,3640,1875,428,442,256,1.06,0.98,0.48
hoax,Orangutan,breach,27.0,1617,1.03,185.9,1.02,121.3,75%,0.68,0.37,0.06,0.05,1092,1068,601,97,86,77,1.03,0.82,0.54
hoax,Orangutan,kayo,15.0,897,1.06,204.8,0.93,131.5,74%,0.67,0.51,0.06,0.06,599,644,461,58,50,42,1.06,0.78,0.76
hoax,Orangutan,sova,14.0,830,1.07,203.6,1.04,135.8,76%,0.71,0.3,0.05,0.05,586,562,247,43,43,39,1.07,0.78,0.42
holym0ly,Unknown,killjoy,74.0,667,1.14,235.0,1.21,158.5,71%,0.84,0.17,0.10,0.07,563,464,114,67,49,32,1.14,0.8,0.2
hoppy,Unknown,omen,38.0,2120,0.99,219.9,1.23,136.9,75%,0.79,0.25,0.09,0.08,1678,1362,523,201,159,106,0.99,0.82,0.32
hoppy,Unknown,breach,20.0,1117,1.04,205.0,1.09,129.9,76%,0.74,0.36,0.06,0.07,824,754,406,72,74,55,1.04,0.79,0.49
humanz,SZK Esports,breach,19.0,777,1.04,179.6,0.99,115.9,75%,0.65,0.44,0.03,0.04,504,511,339,23,33,39,1.04,0.75,0.68
humanz,SZK Esports,sova,14.0,613,1.02,179.7,0.97,126.2,76%,0.63,0.28,0.05,0.04,386,397,174,29,22,29,1.02,0.71,0.44
humanz,SZK Esports,kayo,12.0,475,1.07,193.9,1.00,123.4,74%,0.69,0.48,0.07,0.06,327,327,226,31,28,24,1.07,0.71,0.7
hussar,Unknown,killjoy,43.0,3576,1.1,225.7,1.13,148.6,73%,0.78,0.19,0.11,0.08,2795,2464,665,383,288,173,1.1,0.97,0.24
hussar,Unknown,brimstone,12.0,919,1.21,229.9,1.30,145.5,80%,0.83,0.42,0.10,0.09,763,588,390,94,84,47,1.21,0.89,0.51
hussar,Unknown,viper,11.0,949,1.08,216.9,1.06,142.7,74%,0.75,0.38,0.12,0.07,712,669,360,110,65,46,1.08,0.8,0.51
huynh,Nightblood Gaming,jett,23.0,3877,0.94,219.4,1.16,131.4,71%,0.78,0.14,0.18,0.15,3038,2610,555,699,477,189,0.94,0.84,0.18
huynh,Nightblood Gaming,sova,23.0,3844,1.07,193.0,1.05,132.3,75%,0.66,0.35,0.06,0.06,2534,2407,1346,246,211,186,1.07,0.95,0.53
huynh,Nightblood Gaming,omen,16.0,2675,1.01,195.8,1.03,124.1,76%,0.69,0.4,0.09,0.08,1839,1789,1079,248,225,130,1.01,0.86,0.58
huynh,Nightblood Gaming,viper,11.0,1768,0.97,188.2,1.01,121.8,71%,0.66,0.27,0.08,0.09,1174,1161,475,148,158,87,0.97,0.78,0.41
hvoya,Xi Lai Gaming,sova,30.0,2407,1.03,193.8,1.01,131.7,72%,0.68,0.29,0.07,0.06,1627,1615,699,165,149,115,1.03,0.87,0.43
hvoya,Xi Lai Gaming,killjoy,16.0,1368,1.15,211.7,1.12,144.1,72%,0.74,0.2,0.09,0.09,1012,905,274,127,126,64,1.15,0.9,0.27
hvoya,Xi Lai Gaming,cypher,12.0,973,1.0,187.9,1.00,120.2,65%,0.68,0.21,0.08,0.08,663,663,207,81,81,47,1.0,0.74,0.31
hydrakid,Unknown,omen,24.0,337,0.94,201.3,0.82,132.6,71%,0.66,0.43,0.09,0.10,222,270,146,32,33,16,0.94,0.59,0.65
hydrakid,Unknown,viper,14.0,213,0.9,191.8,0.86,134.7,70%,0.65,0.31,0.08,0.09,138,160,66,16,20,9,0.9,0.52,0.48
hydro,Area of Effect,killjoy,39.0,1119,1.06,203.3,1.10,139.9,73%,0.71,0.17,0.07,0.06,800,729,192,82,69,54,1.06,0.8,0.24
hydro,Area of Effect,omen,16.0,467,1.03,185.7,0.98,120.5,75%,0.65,0.46,0.06,0.05,302,308,217,29,24,23,1.03,0.68,0.71
hydro,Unknown,jett,42.0,587,0.92,199.1,0.98,124.0,67%,0.7,0.15,0.14,0.17,409,418,90,82,97,28,0.92,0.63,0.21
hydro,Unknown,chamber,30.0,429,1.07,205.8,1.19,130.5,71%,0.77,0.11,0.10,0.09,332,278,47,45,39,20,1.07,0.7,0.14
hyell,Unknown,sova,24.0,295,1.17,228.3,1.14,157.7,73%,0.79,0.32,0.06,0.09,232,204,94,17,27,16,1.17,0.72,0.41
hyell,Unknown,breach,11.0,156,1.04,170.6,0.97,114.1,76%,0.6,0.57,0.06,0.06,93,96,89,9,10,7,1.04,0.57,0.95
hyell,Unknown,jett,11.0,128,0.75,178.7,0.75,122.8,51%,0.62,0.15,0.12,0.16,79,106,19,15,21,7,0.75,0.39,0.24
hyjinx,Harrisburg University,jett,51.0,5058,1.03,229.0,1.10,144.1,69%,0.81,0.14,0.17,0.16,4118,3757,731,874,801,246,1.03,0.95,0.17
hyjinx,Harrisburg University,raze,16.0,1627,0.98,227.5,0.99,147.9,70%,0.77,0.21,0.15,0.17,1246,1255,336,250,279,80,0.98,0.78,0.27
hyjinx,Harrisburg University,omen,12.0,1299,1.1,208.9,1.03,130.1,74%,0.73,0.33,0.08,0.09,951,922,433,101,115,60,1.1,0.85,0.45
hypathor,Unknown,sova,53.0,1548,1.04,188.9,1.02,128.8,72%,0.64,0.36,0.06,0.07,985,967,556,92,106,75,1.04,0.83,0.56
hypathor,Unknown,breach,23.0,679,0.94,170.2,0.93,114.1,74%,0.61,0.39,0.05,0.07,414,443,266,37,50,33,0.94,0.66,0.64
hypathor,Unknown,viper,13.0,380,1.08,215.4,1.11,135.7,72%,0.72,0.43,0.11,0.10,273,247,164,41,38,19,1.08,0.69,0.6
hype,Apeks,killjoy,36.0,3334,1.08,211.2,1.15,141.5,73%,0.75,0.18,0.08,0.08,2500,2171,584,281,283,160,1.08,0.95,0.24
hype,Apeks,cypher,27.0,2500,0.98,203.4,1.07,130.7,69%,0.73,0.23,0.10,0.10,1815,1700,586,245,252,120,0.98,0.83,0.32
hype,Apeks,viper,18.0,1717,1.08,214.9,1.15,139.6,74%,0.74,0.33,0.08,0.08,1270,1103,563,144,139,83,1.08,0.87,0.45
hyp,Mandatory,breach,29.0,2563,1.02,181.3,0.98,111.6,78%,0.63,0.45,0.07,0.06,1609,1643,1164,173,138,124,1.02,0.87,0.71
hyp,Mandatory,kayo,12.0,1061,0.99,184.3,0.91,123.8,72%,0.63,0.48,0.07,0.09,672,742,508,78,92,50,0.99,0.75,0.76
hyzee,Team Big BAAM,astra,29.0,1679,1.12,208.0,1.16,135.9,77%,0.75,0.33,0.09,0.06,1256,1079,555,143,104,82,1.12,0.9,0.44
hyzee,Team Big BAAM,cypher,13.0,778,0.99,214.4,1.10,135.6,71%,0.75,0.24,0.09,0.08,585,532,187,73,62,38,0.99,0.71,0.32
hyzee,Team Big BAAM,killjoy,13.0,778,0.98,209.9,0.99,137.1,70%,0.72,0.23,0.09,0.09,563,571,176,71,72,38,0.98,0.7,0.32
hyzee,Team Big BAAM,omen,12.0,713,1.0,206.6,0.97,134.4,72%,0.72,0.38,0.10,0.12,511,529,270,74,88,34,1.0,0.71,0.53
hyzee,Team Big BAAM,sova,11.0,633,1.09,209.0,1.13,140.2,77%,0.72,0.32,0.07,0.06,456,402,201,44,37,32,1.09,0.76,0.44
ibrocky,Unknown,kayo,29.0,1062,1.1,209.6,1.03,134.7,76%,0.7,0.53,0.07,0.08,747,722,563,76,82,53,1.1,0.83,0.76
ibrocky,Unknown,viper,29.0,1102,1.05,194.0,1.06,130.7,74%,0.67,0.25,0.07,0.08,738,695,278,80,92,52,1.05,0.79,0.37
ibrocky,Unknown,skye,18.0,663,1.03,193.3,0.95,127.7,73%,0.65,0.4,0.05,0.08,434,457,266,33,51,32,1.03,0.72,0.62
ibrocky,Unknown,breach,14.0,501,1.04,184.4,0.99,123.7,77%,0.65,0.45,0.06,0.05,325,328,224,31,26,25,1.04,0.7,0.69
icy,Unknown,killjoy,28.0,4156,1.09,218.9,1.12,146.7,73%,0.75,0.21,0.10,0.09,3113,2786,883,428,387,202,1.09,0.98,0.28
icy,Unknown,raze,11.0,1679,1.1,237.0,1.11,158.1,74%,0.8,0.23,0.19,0.16,1345,1216,380,321,263,81,1.1,0.88,0.29
icy,Unknown,chamber,11.0,1661,1.08,218.4,1.14,142.0,70%,0.8,0.14,0.15,0.10,1329,1170,233,252,173,80,1.08,0.87,0.18
idex,Ramboot Club,killjoy,50.0,3376,0.97,212.0,1.03,139.8,72%,0.73,0.18,0.11,0.12,2464,2384,610,367,390,166,0.97,0.85,0.25
idex,Ramboot Club,cypher,20.0,1405,0.92,183.9,0.89,122.7,68%,0.65,0.2,0.10,0.11,909,1026,280,139,83,65,0.92,0.72,0.31
ifly,Twisted Minds Esports,jett,25.0,2515,1.06,224.1,1.14,144.7,71%,0.8,0.16,0.17,0.13,2018,1773,392,434,315,123,1.06,0.9,0.2
ifly,Twisted Minds Esports,skye,13.0,1338,0.98,187.9,1.00,122.3,71%,0.68,0.29,0.09,0.07,908,908,387,116,98,65,0.98,0.76,0.43
ifly,Twisted Minds Esports,raze,13.0,1357,1.0,214.6,1.03,146.6,69%,0.75,0.17,0.14,0.15,1018,992,235,189,210,63,1.0,0.78,0.23
ifly,Twisted Minds Esports,breach,12.0,1171,0.98,183.7,0.95,121.7,73%,0.64,0.37,0.06,0.06,753,794,428,76,74,57,0.98,0.75,0.58
ike,Exceptional Gaming,omen,61.0,2238,0.96,182.8,0.95,116.1,72%,0.65,0.38,0.08,0.09,1465,1543,843,184,201,106,0.96,0.8,0.58
ike,Exceptional Gaming,brimstone,16.0,624,0.99,201.0,0.93,132.2,71%,0.69,0.38,0.07,0.08,428,458,237,46,52,28,0.99,0.69,0.55
ike,Exceptional Gaming,viper,12.0,420,0.87,187.8,0.84,125.0,67%,0.63,0.28,0.05,0.07,263,314,116,23,31,21,0.87,0.57,0.44
ikke,Unknown,jett,28.0,2086,0.99,219.3,1.04,137.5,70%,0.76,0.17,0.18,0.14,1585,1525,361,375,292,102,0.99,0.82,0.22
ikke,Unknown,raze,27.0,1969,1.1,235.4,1.12,152.0,76%,0.8,0.26,0.15,0.13,1569,1403,507,295,260,98,1.1,0.9,0.32
ikke,Unknown,sage,19.0,1441,0.98,181.2,0.98,115.0,75%,0.64,0.38,0.07,0.08,925,945,541,103,116,69,0.98,0.77,0.59
ikke,Unknown,kayo,11.0,799,1.06,191.8,1.02,122.0,78%,0.65,0.51,0.06,0.07,523,511,408,47,52,38,1.06,0.77,0.78
iluri,MOUZ,sova,32.0,2714,1.02,179.9,1.01,118.5,75%,0.63,0.29,0.06,0.07,1721,1709,800,159,187,130,1.02,0.87,0.46
iluri,MOUZ,breach,30.0,2605,1.01,177.5,1.00,115.6,75%,0.64,0.38,0.05,0.06,1667,1666,989,143,162,122,1.01,0.86,0.59
ind1n,Tropa do Desire,jett,46.0,2206,0.98,223.3,1.05,140.3,68%,0.78,0.14,0.20,0.18,1727,1639,305,450,400,106,0.98,0.82,0.18
ind1n,Tropa do Desire,raze,30.0,1440,0.99,228.8,1.01,151.8,69%,0.76,0.2,0.16,0.18,1098,1089,294,228,254,70,0.99,0.78,0.26
ind1n,Tropa do Desire,neon,12.0,579,0.89,212.4,0.95,133.9,65%,0.73,0.15,0.19,0.21,422,442,87,112,119,28,0.89,0.61,0.21
infestor,Unknown,chamber,20.0,816,1.0,207.6,1.06,130.6,67%,0.74,0.15,0.14,0.09,603,568,126,112,71,39,1.0,0.72,0.2
infestor,Unknown,cypher,19.0,752,0.89,175.0,0.87,119.4,67%,0.63,0.22,0.05,0.08,471,539,165,39,59,37,0.89,0.64,0.35
infestor,Unknown,viper,17.0,700,0.93,184.7,0.91,122.2,67%,0.64,0.28,0.08,0.08,449,494,195,56,55,33,0.93,0.66,0.44
infestor,Unknown,killjoy,14.0,560,0.93,201.8,0.96,134.0,67%,0.7,0.16,0.07,0.09,393,409,92,39,49,28,0.93,0.64,0.23
infestor,Unknown,sova,12.0,484,0.98,183.8,0.96,122.3,73%,0.63,0.32,0.04,0.07,303,314,154,18,36,23,0.98,0.65,0.51
infiltrator,Winthrop University,jett,57.0,4822,1.07,241.1,1.16,153.4,70%,0.85,0.15,0.21,0.17,4121,3562,720,1005,824,232,1.07,0.98,0.18
