Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,League,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region
hiroronn,ZETA DIVISION,146,"['killjoy', 'reyna', 'cypher', 'sova', 'kayo']",1326,1.06,208.1,1.12,72%,137.7,0.75,0.18,0.1,0.09,27%,15%,992,883,245,130,125,2023,Challengers,False,1.06,0.98,0.17,Pacific
hitch,ESC Gaming,290,"['sova', 'breach']",549,0.93,195.4,0.89,70%,133.4,0.65,0.31,0.06,0.1,19%,7%,355,401,170,34,54,2023,Challengers,True,0.93,0.75,0.37,EMEAS
hoax,Orangutan,240,"['breach', 'kayo', 'sova', 'raze', 'skye']",750,0.97,179.7,0.9,74%,119.4,0.61,0.38,0.06,0.07,20%,11%,459,511,284,46,55,2023,Challengers,False,0.97,0.82,0.51,Pacific
huynh,Nightblood Gaming,691,"['jett', 'sova', 'omen', 'viper', 'astra']",350,0.93,173.5,0.86,69%,113.2,0.62,0.3,0.06,0.07,22%,16%,217,252,106,21,26,2023,Challengers,False,0.93,0.7,0.4,Americas
hvoya,Xi Lai Gaming,277,"['sova', 'killjoy', 'cypher', 'skye', 'jett']",760,1.13,219.1,1.13,71%,147.1,0.79,0.29,0.08,0.07,27%,11%,597,528,223,61,54,2023,Challengers,False,1.13,0.96,0.19,China
hydro,Area of Effect,105,"['killjoy', 'omen', 'cypher', 'sova', 'skye']",209,1.07,207.9,1.12,73%,139.8,0.74,0.16,0.06,0.08,28%,14%,154,137,34,13,16,2023,Challengers,False,1.07,0.73,0.16,Americas
hype,Apeks,395,"['killjoy', 'cypher', 'viper', 'raze']",620,1.07,213.0,1.11,73%,145.1,0.75,0.18,0.09,0.09,27%,15%,465,420,112,53,55,2023,Challengers,False,1.07,0.88,0.17,EMEAS
hyp,Mandatory,296,"['breach', 'kayo', 'reyna', 'sage', 'fade']",722,0.97,167.7,0.92,77%,110.0,0.59,0.43,0.07,0.07,22%,16%,425,460,307,53,53,2023,Challengers,True,0.97,0.82,0.63,
hyzee,Team Big BAAM,265,"['astra', 'cypher', 'killjoy', 'omen', 'sova']",806,0.99,196.5,0.95,77%,128.2,0.67,0.49,0.09,0.08,30%,14%,543,570,392,71,62,2023,Challengers,False,0.99,0.85,0.56,Pacific
idex,Ramboot Club,292,"['killjoy', 'cypher', 'omen', 'sage', 'chamber']",563,0.91,187.6,0.93,66%,128.1,0.68,0.17,0.1,0.1,29%,19%,384,415,96,58,58,2023,Challengers,True,0.91,0.74,0.22,EMEAS
ifly,Twisted Minds Esports,400,"['jett', 'skye', 'raze', 'breach', 'chamber']",293,0.92,172.0,0.91,71%,116.5,0.63,0.28,0.04,0.06,29%,2%,185,204,83,12,19,2023,Challengers,False,0.92,0.67,0.36,EMEAS
iluri,MOUZ,315,"['sova', 'breach', 'killjoy', 'kayo']",503,1.02,181.6,1.0,74%,119.7,0.63,0.41,0.04,0.06,35%,12%,319,320,208,21,29,2023,Challengers,True,1.02,0.81,0.52,EMEAS
infiltrator,Winthrop University,378,"['jett', 'raze', 'chamber']",396,0.99,220.1,1.06,64%,142.6,0.81,0.13,0.14,0.17,29%,21%,320,303,50,57,69,2023,Challengers,False,0.99,0.76,0.1,Americas
insider,KPI Gaming,353,"['killjoy', 'cypher', 'viper', 'sage', 'kayo']",517,1.04,204.0,1.09,73%,137.3,0.71,0.17,0.08,0.07,27%,11%,368,339,87,41,38,2023,Challengers,False,1.04,0.83,0.19,EMEAS
ip0tt,Galakticos,195,"['jett', 'raze', 'killjoy', 'neon', 'sage']",631,1.09,225.7,1.11,73%,147.2,0.79,0.18,0.19,0.15,27%,17%,499,448,112,118,93,2023,Challengers,False,1.09,0.9,0.14,EMEAS
ivan4ezz,VX300 Gaming,238,"['breach', 'kayo', 'raze', 'sage', 'reyna']",213,0.8,181.5,0.76,65%,123.3,0.64,0.31,0.08,0.12,36%,16%,136,178,65,17,26,2023,Challengers,False,0.8,0.55,0.38,EMEAS
ivy,Sin Prisa Gaming,74,"['sova', 'deadlock', 'skye', 'fade']",355,0.95,195.6,0.88,75%,129.6,0.65,0.44,0.06,0.08,26%,9%,231,262,157,21,29,2023,Challengers,False,0.95,0.72,0.52,Pacific
izu,T1,95,"['jett', 'omen', 'raze', 'yoru']",707,1.17,252.4,1.25,73%,158.1,0.89,0.14,0.19,0.17,25%,17%,627,500,99,137,117,2023,Challengers,False,1.17,0.99,0.06,Pacific
izzy,Papara SuperMassive,300,"['jett', 'raze', 'chamber']",652,1.03,211.2,1.12,71%,137.9,0.76,0.17,0.17,0.18,25%,13%,493,441,109,112,116,2023,Challengers,False,1.03,0.86,0.15,EMEAS
jaebin,FearX,100,"['jett', 'raze']",580,0.9,213.9,0.9,69%,138.4,0.72,0.23,0.17,0.16,16%,23%,419,468,131,99,93,2023,Challengers,False,0.9,0.74,0.22,Pacific
