Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,League,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region
felix,SK Gaming,214,"['sova', 'viper', 'skye', 'fade', 'breach']",335,1.03,190.4,0.94,72%,133.1,0.64,0.36,0.05,0.07,31%,13%,215,229,119,18,23,2023,Challengers,False,1.03,0.77,0.44,EMEAS
felix,SUPERFECT Esports,173,"['sova', 'breach', 'killjoy', 'fade', 'sage']",743,0.93,188.7,0.9,72%,122.6,0.64,0.28,0.07,0.09,21%,12%,478,532,209,55,69,2023,Challengers,False,0.93,0.79,0.35,Pacific
feniz,E-Xolos LAZER,175,"['cypher', 'killjoy', 'kayo', 'gekko']",429,1.07,220.2,1.1,71%,148.3,0.78,0.19,0.08,0.06,24%,12%,333,303,80,36,27,2023,Challengers,False,1.07,0.83,0.15,Americas
fidelwow,BOOM Esports,78,"['killjoy', 'sage', 'viper', 'sova', 'cypher']",210,0.91,170.8,0.89,72%,118.9,0.64,0.21,0.05,0.09,23%,21%,134,151,44,11,18,2023,Challengers,False,0.91,0.63,0.29,Pacific
filu,DSYRE,249,"['jett', 'raze', 'omen', 'astra']",503,1.2,256.3,1.3,73%,159.3,0.9,0.17,0.22,0.13,28%,15%,452,349,86,112,63,2023,Challengers,False,1.2,0.96,0.06,EMEAS
fiziq,YFP Gaming,592,"['sova', 'skye', 'breach']",677,0.93,175.5,0.9,71%,113.8,0.61,0.36,0.06,0.08,27%,16%,411,459,244,38,56,2023,Challengers,True,0.93,0.78,0.48,Americas
fizzy,MOUZ,313,"['cypher', 'killjoy', 'viper', 'omen']",745,1.21,233.7,1.4,78%,153.0,0.83,0.22,0.08,0.06,22%,18%,618,442,161,63,45,2023,Challengers,False,1.21,1.03,0.12,EMEAS
flashback,DRX,82,"['cypher', 'killjoy', 'viper', 'clove', 'chamber']",223,1.11,231.2,1.07,67%,156.9,0.78,0.2,0.08,0.06,20%,31%,173,162,44,17,13,2023,Challengers,False,1.11,0.77,0.15,Pacific
flickless,UCAM Esports Club,203,"['jett', 'breach', 'kayo', 'sage', 'skye']",563,0.97,176.2,0.88,75%,113.0,0.61,0.45,0.07,0.08,23%,14%,346,392,254,42,45,2023,Challengers,False,0.97,0.79,0.62,EMEAS
fluky,Barn nong chok,111,"['sova', 'omen', 'raze', 'fade', 'jett']",849,0.95,193.6,0.92,72%,126.9,0.66,0.33,0.11,0.1,24%,13%,562,610,284,97,84,2023,Challengers,False,0.95,0.82,0.37,Pacific
flyuh,Moist x Shopify,541,"['sova', 'viper', 'kayo', 'breach', 'astra']",1027,1.05,209.6,1.01,75%,134.8,0.71,0.49,0.08,0.11,27%,15%,734,727,504,78,113,2023,Challengers,True,1.05,0.94,0.48,Americas
foxie,DVM Esport,371,"['sova', 'sage', 'breach', 'omen', 'skye']",524,0.98,187.3,0.94,72%,124.4,0.65,0.34,0.08,0.07,29%,13%,340,360,177,42,37,2023,Challengers,True,0.98,0.79,0.4,EMEAS
fr4nky,Twisted Minds Esports,349,"['sova', 'breach', 'skye']",659,0.94,190.8,0.89,71%,130.0,0.65,0.37,0.08,0.08,24%,8%,431,483,247,53,54,2023,Challengers,False,0.94,0.78,0.43,EMEAS
francis,Sin Prisa Gaming,72,"['jett', 'fade', 'breach', 'skye', 'yoru']",355,0.99,221.5,1.0,68%,138.4,0.77,0.2,0.17,0.17,19%,22%,272,271,71,61,61,2023,Challengers,False,0.99,0.75,0.16,Pacific
fresht,FUSION,72,"['jett', 'raze', 'yoru', 'neon', 'breach']",502,0.88,202.2,0.89,70%,133.6,0.7,0.17,0.16,0.19,26%,9%,351,394,86,80,94,2023,Challengers,False,0.88,0.7,0.2,Americas
freyy,Zero Tenacity,259,"['omen', 'astra', 'viper', 'brimstone']",549,0.91,186.7,0.9,70%,121.5,0.66,0.31,0.08,0.09,28%,18%,365,407,170,43,52,2023,Challengers,False,0.91,0.74,0.35,EMEAS
frizznatsz,5 Clown,208,"['sova', 'skye', 'fade', 'jett']",434,0.9,183.4,0.86,68%,126.9,0.65,0.21,0.11,0.12,30%,10%,280,324,90,46,50,2023,Challengers,False,0.9,0.7,0.28,Pacific
fross,XSOUL,147,"['omen', 'astra', 'viper', 'brimstone', 'jett']",220,1.02,190.7,0.99,73%,128.9,0.68,0.39,0.07,0.1,26%,25%,149,151,85,15,21,2023,Challengers,True,1.02,0.71,0.41,Americas
frostmind,Bigetron Arctic,306,"['killjoy', 'cypher', 'viper', 'omen', 'sova']",926,0.99,188.1,1.02,72%,128.3,0.66,0.2,0.06,0.06,29%,12%,607,597,186,58,52,2023,Challengers,False,0.99,0.87,0.26,Pacific
frostyz,Todak,184,"['jett', 'raze', 'neon', 'reyna', 'skye']",392,0.85,201.5,0.87,68%,134.1,0.69,0.19,0.17,0.19,22%,11%,272,314,73,68,76,2023,Challengers,False,0.85,0.65,0.22,Pacific
furbsa,SaD Esports,582,"['jett', 'raze', 'chamber', 'cypher', 'yoru']",394,1.11,239.8,1.21,75%,157.7,0.85,0.19,0.16,0.14,22%,11%,336,277,75,62,57,2023,Challengers,False,1.11,0.85,0.1,Americas
furyan,FTW Leça FC Esports,138,"['jett', 'raze', 'sova', 'kayo', 'skye']",274,0.71,186.4,0.69,60%,119.4,0.6,0.23,0.18,0.19,19%,3%,164,236,64,50,53,2023,Challengers,False,0.71,0.51,0.35,EMEAS
fweshest,Funcrew,363,"['cypher', 'sage', 'killjoy', 'kayo', 'skye']",308,0.92,170.3,0.86,69%,109.8,0.6,0.34,0.06,0.07,31%,21%,185,216,106,18,23,2023,Challengers,False,0.92,0.68,0.47,Pacific
gaabxx,RED Canids,227,"['jett', 'sova', 'skye', 'breach']",823,0.91,168.5,0.9,72%,111.3,0.58,0.3,0.07,0.07,21%,19%,478,532,250,56,59,2023,Challengers,True,0.91,0.78,0.45,Americas
ganter,Zen eSports,68,"['killjoy', 'raze', 'jett', 'sova', 'fade']",357,1.05,230.1,1.08,73%,149.8,0.82,0.23,0.12,0.13,27%,9%,293,272,82,43,45,2023,Challengers,False,1.05,0.79,0.14,Americas
gatorada,Sengoku Gaming,88,"['omen', 'viper', 'brimstone', 'astra']",288,1.04,194.4,0.98,71%,119.4,0.67,0.43,0.04,0.07,20%,24%,193,196,123,11,19,2023,Challengers,False,1.04,0.76,0.47,Pacific
geeza,Maryville University,511,"['sova', 'cypher', 'killjoy', 'chamber', 'fade']",517,1.05,200.1,1.03,75%,136.8,0.7,0.31,0.07,0.08,34%,19%,360,350,161,37,40,2023,Challengers,False,1.05,0.84,0.3,Americas
georggyyy,Velocity Gaming,221,"['jett', 'reyna', 'raze']",636,1.06,242.4,1.15,71%,153.0,0.84,0.25,0.21,0.19,23%,22%,535,466,160,133,123,2023,Challengers,False,1.06,0.88,0.13,Pacific
gghuiii,Oblivion Force,93,"['jett', 'raze', 'chamber']",433,0.99,220.2,1.08,70%,144.4,0.79,0.19,0.17,0.14,24%,9%,342,318,81,72,61,2023,Challengers,False,0.99,0.77,0.14,Pacific
glovee,Galakticos,273,"['sova', 'skye', 'fade', 'viper', 'astra']",771,0.92,175.1,0.86,68%,115.5,0.6,0.31,0.07,0.1,28%,23%,466,543,236,52,76,2023,Challengers,True,0.92,0.79,0.44,EMEAS
glyph,ILLICIT,809,"['omen', 'viper', 'astra', 'sova', 'killjoy']",265,1.03,212.1,0.97,72%,147.7,0.75,0.34,0.09,0.11,24%,9%,199,205,89,25,30,2023,Challengers,False,1.03,0.74,0.27,Americas
gmd,TSM,555,"['omen', 'astra', 'breach', 'raze', 'brimstone']",813,0.97,189.7,0.95,75%,123.7,0.68,0.39,0.08,0.09,29%,11%,549,577,320,68,72,2023,Challengers,False,0.97,0.83,0.41,Americas
goaster,Mandatory,298,"['raze', 'jett', 'chamber', 'sova']",722,1.04,226.7,1.05,72%,148.9,0.78,0.25,0.15,0.14,23%,10%,561,536,180,109,101,2023,Challengers,False,1.04,0.88,0.18,
gon,FENNEL,158,"['omen', 'viper', 'astra', 'brimstone']",830,0.98,181.9,0.95,71%,122.3,0.64,0.38,0.04,0.08,29%,15%,530,560,315,34,64,2023,Challengers,False,0.98,0.85,0.46,Pacific
gotten,Alter Ego,116,"['omen', 'skye', 'breach', 'kayo']",476,1.05,189.9,0.99,73%,124.5,0.68,0.51,0.03,0.08,31%,23%,322,325,241,15,36,2023,Challengers,False,1.05,0.83,0.57,Pacific
governor,Talon Esports,679,"['jett', 'sova', 'raze', 'phoenix', 'neon']",1062,0.96,208.7,0.98,72%,133.9,0.72,0.26,0.17,0.16,21%,24%,769,788,274,184,173,2023,Challengers,False,0.96,0.86,0.24,Pacific
grubinho,KOI,411,"['sova', 'omen', 'astra', 'breach', 'viper']",906,0.99,198.6,1.0,68%,130.8,0.69,0.28,0.09,0.1,33%,19%,625,626,250,86,88,2023,Challengers,False,0.99,0.87,0.29,EMEAS
guardy,Barça eSports,206,"['skye', 'kayo', 'breach', 'sage', 'chamber']",490,1.02,208.6,0.99,73%,134.3,0.72,0.39,0.09,0.09,31%,4%,351,356,193,43,46,2023,Challengers,False,1.02,0.81,0.35,EMEAS
guhrvn,Hero Base,374,"['omen', 'astra', 'brimstone', 'viper', 'cypher']",1232,1.08,198.2,1.09,76%,126.7,0.69,0.41,0.08,0.06,28%,18%,852,781,509,95,79,2023,Challengers,False,1.08,0.99,0.42,Americas
guuih,Stellae Gaming,287,"['killjoy', 'viper', 'cypher', 'chamber']",675,1.09,191.3,1.1,72%,131.7,0.68,0.19,0.08,0.06,25%,11%,459,419,125,51,41,2023,Challengers,False,1.09,0.91,0.23,Americas
h1ber,NOVO Esports,333,"['raze', 'jett', 'reyna', 'sova', 'sage']",737,1.01,237.0,1.08,67%,151.5,0.81,0.19,0.23,0.2,23%,14%,597,554,137,163,144,2023,Challengers,False,1.01,0.86,0.13,EMEAS
hanling,Zen eSports,139,"['jett', 'skye', 'breach', 'kayo']",316,0.83,170.3,0.78,68%,113.1,0.59,0.37,0.03,0.08,30%,13%,186,239,116,10,26,2023,Challengers,False,0.83,0.61,0.53,Americas
happen,Permitta Unicorns,270,"['sova', 'fade', 'sage', 'skye']",354,0.91,184.2,0.89,73%,124.8,0.65,0.31,0.05,0.08,25%,7%,231,259,109,16,30,2023,Challengers,False,0.91,0.69,0.37,EMEAS
havoc,FURIA,197,"['kayo', 'raze', 'jett', 'skye', 'chamber']",685,1.03,230.4,1.08,68%,151.8,0.78,0.18,0.22,0.17,24%,25%,536,498,124,150,118,2023,Challengers,False,1.03,0.86,0.14,Americas
hearthbeat,SweetNsour,291,"['omen', 'astra', 'viper', 'cypher', 'brimstone']",523,0.97,192.1,0.93,75%,123.8,0.66,0.43,0.08,0.09,27%,16%,345,369,226,42,47,2023,Challengers,True,0.97,0.78,0.49,EMEAS
hellff,Orangutan,489,"['astra', 'cypher', 'viper', 'sova', 'skye']",285,0.94,186.9,0.93,74%,119.9,0.66,0.35,0.1,0.08,26%,20%,187,202,101,29,22,2023,Challengers,False,0.94,0.68,0.4,Pacific
hellfull,ContraxScrub,155,"['cypher', 'killjoy', 'sage']",210,0.87,181.4,0.85,68%,124.2,0.63,0.17,0.08,0.07,22%,9%,133,157,36,16,14,2023,Challengers,False,0.87,0.6,0.26,
heynf,Cynical,163,"['jett', 'sage', 'raze', 'skye', 'breach']",522,0.94,180.9,0.88,70%,122.0,0.64,0.29,0.07,0.08,27%,12%,334,380,151,34,43,2023,Challengers,False,0.94,0.76,0.36,Pacific
