Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
gatorada,Sengoku Gaming,88,"['omen', 'viper', 'brimstone', 'astra']",288,1.04,194.4,0.98,71%,119.4,0.67,0.43,0.04,0.07,20%,24%,193,196,123,11,19,2023,False,1.04,0.79,0.47,Pacific,Pacific,Pacific
geeza,Maryville University,511,"['sova', 'cypher', 'killjoy', 'chamber', 'fade']",517,1.05,200.1,1.03,75%,136.8,0.7,0.31,0.07,0.08,34%,19%,360,350,161,37,40,2023,False,1.05,0.88,0.3,Americas,Americas,Americas
georggyyy,Velocity Gaming,221,"['jett', 'reyna', 'raze']",636,1.06,242.4,1.15,71%,153.0,0.84,0.25,0.21,0.19,23%,22%,535,466,160,133,123,2023,False,1.06,0.92,0.13,Pacific,Pacific,Pacific
gghuiii,Oblivion Force,93,"['jett', 'raze', 'chamber']",433,0.99,220.2,1.08,70%,144.4,0.79,0.19,0.17,0.14,24%,9%,342,318,81,72,61,2023,False,0.99,0.81,0.14,Pacific,Pacific,Pacific
glovee,Galakticos,273,"['sova', 'skye', 'fade', 'viper', 'astra']",771,0.92,175.1,0.86,68%,115.5,0.6,0.31,0.07,0.1,28%,23%,466,543,236,52,76,2023,True,0.92,0.82,0.44,EMEAS,EMEAS,EMEAS
glyph,ILLICIT,809,"['omen', 'viper', 'astra', 'sova', 'killjoy']",265,1.03,212.1,0.97,72%,147.7,0.75,0.34,0.09,0.11,24%,9%,199,205,89,25,30,2023,False,1.03,0.77,0.27,Americas,Americas,Americas
gmd,TSM,555,"['omen', 'astra', 'breach', 'raze', 'brimstone']",813,0.97,189.7,0.95,75%,123.7,0.68,0.39,0.08,0.09,29%,11%,549,577,320,68,72,2023,False,0.97,0.87,0.41,Americas,Americas,Americas
goaster,Mandatory,298,"['raze', 'jett', 'chamber', 'sova']",722,1.04,226.7,1.05,72%,148.9,0.78,0.25,0.15,0.14,23%,10%,561,536,180,109,101,2023,False,1.04,0.92,0.18,,,
gon,FENNEL,158,"['omen', 'viper', 'astra', 'brimstone']",830,0.98,181.9,0.95,71%,122.3,0.64,0.38,0.04,0.08,29%,15%,530,560,315,34,64,2023,False,0.98,0.89,0.46,Pacific,Pacific,Pacific
gotten,Alter Ego,116,"['omen', 'skye', 'breach', 'kayo']",476,1.05,189.9,0.99,73%,124.5,0.68,0.51,0.03,0.08,31%,23%,322,325,241,15,36,2023,False,1.05,0.87,0.57,Pacific,Pacific,Pacific
governor,Talon Esports,679,"['jett', 'sova', 'raze', 'phoenix', 'neon']",1062,0.96,208.7,0.98,72%,133.9,0.72,0.26,0.17,0.16,21%,24%,769,788,274,184,173,2023,False,0.96,0.9,0.24,Pacific,Pacific,Pacific
grubinho,KOI,411,"['sova', 'omen', 'astra', 'breach', 'viper']",906,0.99,198.6,1.0,68%,130.8,0.69,0.28,0.09,0.1,33%,19%,625,626,250,86,88,2023,False,0.99,0.91,0.29,EMEAS,EMEAS,EMEAS
guardy,Barça eSports,206,"['skye', 'kayo', 'breach', 'sage', 'chamber']",490,1.02,208.6,0.99,73%,134.3,0.72,0.39,0.09,0.09,31%,4%,351,356,193,43,46,2023,False,1.02,0.85,0.35,EMEAS,EMEAS,EMEAS
guhrvn,Hero Base,374,"['omen', 'astra', 'brimstone', 'viper', 'cypher']",1232,1.08,198.2,1.09,76%,126.7,0.69,0.41,0.08,0.06,28%,18%,852,781,509,95,79,2023,False,1.08,1.03,0.42,Americas,Americas,Americas
