Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
morgan,Bon Bon Bum,74,"['sova', 'gekko', 'skye', 'breach', 'killjoy']",629,0.95,192.5,0.93,69%,128.2,0.69,0.34,0.07,0.1,24%,16%,433,467,212,41,66,2024,False,0.95,0.82,0.34,Americas,Americas,Americas
myoh4nn,URACHACHA,57,"['jett', 'raze', 'killjoy']",201,1.0,226.7,1.01,68%,147.6,0.79,0.18,0.11,0.17,28%,8%,158,157,37,23,34,2024,False,1.0,0.71,0.14,Pacific,Pacific,Pacific
nami,NASR Ignite,152,"['omen', 'viper', 'astra', 'harbor']",1030,0.99,193.6,0.96,72%,124.0,0.69,0.31,0.08,0.09,35%,12%,713,746,318,82,92,2024,False,0.99,0.92,0.32,EMEAS,EMEAS,EMEAS
natasha,LOUD GC,118,"['killjoy', 'cypher', 'breach']",619,1.0,193.3,1.04,70%,130.6,0.71,0.2,0.1,0.07,34%,10%,437,422,125,63,42,2024,False,1.0,0.86,0.21,Americas,Americas,Americas
natas,FUSION X,66,"['sova', 'gekko', 'viper', 'breach', 'sage']",672,0.78,145.5,0.74,65%,98.1,0.53,0.27,0.06,0.12,27%,15%,353,474,182,43,81,2024,False,0.78,0.68,0.48,GameChangers,GameChangers,GameChangers
nati,LEVIATÁN GC,34,"['viper', 'omen', 'sova', 'gekko', 'killjoy']",571,0.94,185.2,0.92,67%,122.2,0.66,0.2,0.06,0.07,40%,12%,377,410,117,34,41,2024,False,0.94,0.8,0.26,GameChangers,GameChangers,GameChangers
naxa,Zen eSports GC,79,"['raze', 'jett', 'sova', 'reyna', 'neon']",607,1.09,253.6,1.12,67%,167.8,0.9,0.17,0.18,0.16,27%,8%,544,487,105,109,97,2024,False,1.09,0.93,0.06,GameChangers,GameChangers,GameChangers
nelo,Karmine Corp GC,308,"['killjoy', 'cypher', 'viper', 'chamber', 'breach']",1103,1.01,215.0,1.02,73%,139.4,0.75,0.29,0.11,0.08,33%,15%,830,815,315,121,92,2024,False,1.01,0.95,0.23,EMEAS,EMEAS,EMEAS
ness,GIANTX GC,263,"['jett', 'killjoy', 'sova', 'viper', 'cypher']",1249,1.14,205.1,1.15,78%,138.1,0.72,0.33,0.07,0.05,26%,14%,896,782,418,91,64,2024,False,1.14,1.09,0.3,GameChangers,GameChangers,GameChangers
newky,LILAX,178,"['reyna', 'skye', 'kayo', 'breach', 'phoenix']",274,0.94,208.2,0.97,68%,136.6,0.74,0.21,0.12,0.16,33%,21%,203,209,58,32,45,2024,False,0.94,0.71,0.19,GameChangers,GameChangers,GameChangers
nezha,K7 Esports,58,"['breach', 'skye', 'viper', 'killjoy', 'kayo']",427,1.29,264.1,1.39,78%,165.9,0.96,0.38,0.12,0.1,36%,15%,412,297,161,51,44,2024,False,1.29,1.04,0.04,GameChangers,GameChangers,GameChangers
nicky,9z Team GC,66,"['omen', 'viper', 'brimstone', 'sage']",1050,1.06,202.2,1.02,73%,131.2,0.71,0.36,0.08,0.06,31%,17%,748,731,382,87,67,2024,False,1.06,0.99,0.34,GameChangers,GameChangers,GameChangers
nidxvilco,MAD Lions KOI,107,"['viper', 'brimstone', 'omen', 'astra', 'fade']",740,1.0,187.9,1.02,71%,122.9,0.68,0.32,0.06,0.09,29%,19%,501,492,238,48,67,2024,False,1.0,0.88,0.34,GameChangers,GameChangers,GameChangers
nila,Scissor Sisters,78,"['cypher', 'killjoy', 'chamber']",229,0.87,183.0,0.84,64%,123.9,0.64,0.16,0.06,0.08,22%,5%,147,175,36,13,18,2024,False,0.87,0.63,0.24,GameChangers,GameChangers,GameChangers
ninou,VALIANT GC,300,"['sage', 'sova', 'breach', 'brimstone', 'killjoy']",1227,0.91,167.0,0.82,73%,111.1,0.55,0.44,0.04,0.06,19%,16%,680,834,542,48,77,2024,False,0.91,0.87,0.73,GameChangers,GameChangers,GameChangers
noia,Shopify Rebellion,461,"['killjoy', 'cypher', 'chamber', 'skye', 'jett']",1000,1.04,195.0,1.1,74%,133.0,0.69,0.23,0.08,0.08,26%,16%,687,622,229,79,77,2024,False,1.04,0.96,0.25,Americas,Americas,Americas
