Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
sh1n,Karmine Corp,251,"['astra', 'omen', 'sova', 'viper']",1137,0.94,168.1,0.93,75%,107.7,0.61,0.37,0.07,0.07,29%,11%,698,753,418,74,76,2024,False,0.94,0.85,0.5,EMEAS,EMEAS,EMEAS
shadow,KOI,343,"['breach', 'sova', 'skye', 'kayo', 'sage']",740,0.86,167.6,0.84,68%,108.6,0.59,0.3,0.05,0.1,21%,12%,433,516,219,40,73,2024,False,0.86,0.73,0.44,EMEAS,EMEAS,EMEAS
shao,Natus Vincere,393,"['sova', 'fade', 'sage', 'astra', 'raze']",760,1.04,191.8,1.01,74%,129.5,0.68,0.37,0.08,0.08,31%,20%,519,516,278,57,58,2024,False,1.04,0.89,0.39,EMEAS,EMEAS,EMEAS
sheydos,KOI,285,"['sage', 'raze', 'skye', 'killjoy', 'viper']",740,1.07,181.3,1.13,75%,122.3,0.67,0.17,0.05,0.05,26%,15%,497,441,127,39,38,2024,False,1.07,0.91,0.23,EMEAS,EMEAS,EMEAS
shion7,Dragon Ranger Gaming,53,"['sova', 'omen', 'killjoy', 'harbor', 'viper']",570,,180.7,0.84,,118.0,0.62,0.28,0.05,0.12,,,353,421,157,9,21,2024,False,0.98,0.8,0.38,China,China,China
shyy,KRÜ Esports,152,"['killjoy', 'cypher', 'skye', 'fade', 'viper']",1138,1.05,199.1,1.09,70%,138.5,0.72,0.22,0.07,0.08,28%,20%,822,754,250,80,88,2024,False,1.05,0.95,0.22,Americas,Americas,Americas
smoggy,EDward Gaming,329,"['jett', 'killjoy', 'raze', 'breach', 'omen']",1606,1.11,207.1,1.16,75%,136.0,0.74,0.36,0.08,0.07,28%,14%,1194,1032,571,75,69,2024,False,1.11,1.05,0.29,China,China,China
something,Paper Rex,221,"['jett', 'reyna', 'gekko']",1761,1.08,219.6,1.12,73%,140.8,0.78,0.23,0.17,0.13,26%,12%,1370,1223,398,302,222,2024,False,1.08,1.04,0.17,Pacific,Pacific,Pacific
spitfires,All Gamers,85,"['raze', 'jett', 'sova', 'killjoy', 'neon']",459,,202.0,0.91,,128.5,0.71,0.15,0.22,0.2,,,324,358,69,40,37,2024,False,0.98,0.77,0.18,China,China,China
spring,Wolves Esports,241,"['jett', 'raze', 'fade', 'phoenix']",487,,203.6,0.96,,159.8,0.7,0.2,0.17,0.24,,,342,358,98,25,35,2024,False,0.98,0.78,0.22,China,China,China
sscary,BLEED,402,"['omen', 'astra', 'viper', 'brimstone']",480,1.11,214.0,1.09,75%,141.2,0.75,0.36,0.08,0.06,27%,14%,360,329,175,38,31,2024,False,1.11,0.88,0.28,Pacific,Pacific,Pacific
ssees,DetonatioN FocusMe,61,"['omen', 'viper', 'sage', 'breach', 'kayo']",555,0.92,165.9,0.83,70%,107.7,0.59,0.37,0.06,0.07,36%,16%,325,390,203,31,41,2024,False,0.92,0.75,0.53,Pacific,Pacific,Pacific
stax,T1,378,"['breach', 'skye', 'kayo', 'fade', 'sage']",733,1.02,182.9,1.0,74%,116.6,0.63,0.47,0.06,0.08,29%,11%,465,467,341,47,55,2024,True,1.02,0.86,0.61,Pacific,Pacific,Pacific
stew,JDG Esports,143,"['jett', 'raze']",471,,233.5,1.2,,151.7,0.83,0.16,0.14,0.15,,,390,325,75,26,27,2024,False,0.98,0.77,0.1,China,China,China
sugarz3ro,ZETA DIVISION,222,"['astra', 'omen', 'viper', 'brimstone']",657,1.0,192.6,0.95,72%,123.7,0.68,0.37,0.04,0.07,34%,7%,449,471,242,26,44,2024,False,1.0,0.83,0.39,Pacific,Pacific,Pacific
supamen,Evil Geniuses,336,"['omen', 'astra', 'viper', 'brimstone']",595,1.0,196.9,0.98,71%,127.7,0.7,0.28,0.1,0.12,39%,17%,418,428,169,61,71,2024,False,1.0,0.82,0.28,Americas,Americas,Americas
surf,Talon Esports,136,"['jett', 'chamber', 'killjoy']",405,0.97,181.9,0.97,70%,121.4,0.63,0.21,0.08,0.07,38%,5%,256,265,86,32,29,2024,False,0.97,0.75,0.3,Pacific,Pacific,Pacific
suygetsu,Natus Vincere,382,"['cypher', 'viper', 'killjoy', 'sage']",760,1.0,184.9,1.01,72%,125.7,0.66,0.21,0.07,0.06,33%,12%,502,497,157,50,48,2024,False,1.0,0.85,0.27,EMEAS,EMEAS,EMEAS
swerl,Nova Esports,302,"['raze', 'jett', 'omen', 'phoenix', 'killjoy']",391,,228.3,1.01,,140.7,0.78,0.19,0.14,0.18,,,306,303,76,24,32,2024,False,0.98,0.75,0.15,China,China,China
sword9,All Gamers,195,"['skye', 'breach', 'fade', 'sova', 'gekko']",459,,171.3,0.78,,122.6,0.57,0.32,0.06,0.12,,,263,338,147,11,22,2024,True,0.98,0.77,0.49,China,China,China
t3xture,Gen.G,265,"['jett', 'raze']",2405,1.12,236.7,1.2,71%,152.6,0.84,0.16,0.19,0.14,27%,18%,2028,1694,390,465,344,2024,False,1.12,1.12,0.1,Pacific,Pacific,Pacific
takas,Gentle Mates,284,"['jett', 'raze', 'sova', 'sage', 'breach']",564,0.91,205.4,0.93,65%,135.3,0.71,0.23,0.16,0.18,22%,14%,400,431,127,90,103,2024,False,0.91,0.74,0.23,EMEAS,EMEAS,EMEAS
tex,LEVIATÁN,370,"['jett', 'raze', 'kayo', 'reyna', 'chamber']",1736,0.92,193.8,0.99,71%,128.8,0.69,0.2,0.1,0.12,33%,12%,1194,1204,351,182,200,2024,False,0.92,0.88,0.23,Americas,Americas,Americas
tomaszy,Karmine Corp,184,"['neon', 'jett', 'viper', 'raze', 'cypher']",1137,0.94,182.8,0.93,71%,124.2,0.64,0.28,0.08,0.08,33%,14%,732,783,321,87,89,2024,False,0.94,0.85,0.35,EMEAS,EMEAS,EMEAS
trent,G2 Esports,293,"['sova', 'viper', 'fade', 'skye']",1727,1.03,190.3,0.95,72%,128.5,0.65,0.33,0.08,0.08,27%,18%,1120,1176,564,141,140,2024,False,1.03,0.99,0.39,Americas,Americas,Americas
trexx,Team Vitality,252,"['raze', 'sova', 'kayo', 'fade', 'jett']",1000,1.16,219.6,1.12,76%,146.1,0.75,0.43,0.09,0.08,19%,13%,745,664,430,85,77,2024,False,1.16,1.03,0.34,EMEAS,EMEAS,EMEAS
tuyz,LOUD,292,"['jett', 'raze', 'omen', 'harbor', 'sage']",957,1.03,176.6,1.0,72%,118.6,0.65,0.36,0.06,0.07,30%,13%,618,616,343,59,69,2024,False,1.03,0.91,0.42,Americas,Americas,Americas
tvirusluke,Dragon Ranger Gaming,193,"['jett', 'raze', 'neon']",680,,215.2,0.88,,152.6,0.71,0.2,0.21,0.17,,,483,551,136,37,30,2024,False,0.98,0.82,0.21,China,China,China
