Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
332,Mir Gaming GC,47,"['killjoy', 'sova', 'fade', 'chamber', 'viper']",274,1.07,209.8,1.14,72%,139.8,0.72,0.30,0.08,0.08,27%,9%,,,197,173,81,22,22
69shinobu,4Fun,64,"['sage', 'reyna', 'clove', 'raze', 'killjoy']",234,0.79,160.0,0.64,66%,106.4,0.53,0.41,0.04,0.03,20%,10%,,,123,192,97,9,7
6sonya,Odd 1 OUT,260,"['sova', 'fade', 'breach', 'skye']",964,0.93,176.8,0.89,69%,121.0,0.62,0.28,0.08,0.07,26%,8%,,,596,670,270,76,67
abrux,Return of the Ashes,58,"['omen', 'brimstone', 'viper', 'astra']",226,0.83,176.1,0.80,64%,115.6,0.62,0.27,0.08,0.07,39%,18%,,,141,177,61,18,16
aco,ZETA DIVISION GC,73,"['skye', 'sova', 'kayo', 'fade', 'omen']",461,0.90,172.7,0.83,74%,111.4,0.59,0.48,0.08,0.13,18%,15%,,,270,325,220,35,58
addi,RIZON Sugar,82,"['sova', 'jett', 'raze', 'skye', 'neon']",279,1.02,229.4,1.03,67%,148.6,0.82,0.19,0.16,0.19,25%,14%,,,229,223,53,44,52
adenina,9z Team GC,131,"['kayo', 'astra', 'sova', 'fade', 'skye']",1050,0.87,155.0,0.82,70%,100.4,0.55,0.37,0.04,0.07,21%,17%,,,581,709,390,44,74
adora,HEROIC Valkyries,114,"['raze', 'jett', 'reyna']",996,0.96,212.0,0.97,65%,142.7,0.74,0.17,0.16,0.18,29%,9%,,,741,766,166,155,181
ahmei,LILITH,32,"['skye', 'killjoy', 'cypher', 'viper', 'clove']",292,0.88,202.7,0.83,70%,142.4,0.68,0.32,0.12,0.12,25%,20%,,,198,240,94,35,34
aisling,4Fun,159,"['astra', 'omen', 'brimstone', 'viper', 'sova']",282,0.91,175.4,0.88,72%,113.0,0.61,0.37,0.04,0.09,19%,24%,,,172,196,103,12,25
akita,Zerance Mint,49,"['jett', 'raze', 'reyna', 'phoenix']",418,1.14,267.9,1.17,71%,172.2,0.93,0.18,0.23,0.19,27%,27%,,,387,330,76,96,80
alannah,swaglord9000,91,"['sova', 'killjoy', 'omen', 'cypher', 'skye']",317,0.97,198.1,0.97,68%,129.4,0.70,0.27,0.09,0.09,29%,10%,,,223,229,86,27,28
alessia,MAD Lions KOI,107,"['killjoy', 'chamber', 'cypher', 'jett']",740,1.05,201.0,1.13,67%,133.5,0.75,0.14,0.11,0.13,36%,18%,,,555,492,105,78,93
alexaishot,KS Hunters,107,"['kayo', 'raze', 'gekko', 'jett', 'viper']",806,0.96,207.4,0.96,72%,132.0,0.71,0.31,0.10,0.11,21%,12%,,,572,594,247,80,89
alexis,Shopify Rebellion,487,"['skye', 'breach', 'kayo', 'sage']",1000,1.05,177.1,1.02,77%,111.9,0.63,0.51,0.06,0.06,30%,18%,,,631,616,510,56,55
