Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
ting2k5,Team Flash,146,"['jett', 'sova', 'omen', 'chamber', 'breach']",488,1.04,197.8,1.14,69%,134.3,0.75,0.15,0.13,0.14,29%,15%,,,367,321,75,61,68
tio,Rebirth Esports,249,"['sova', 'viper', 'omen', 'skye', 'killjoy']",216,1.05,196.8,1.00,75%,135.1,0.67,0.23,0.06,0.06,19%,16%,,,144,144,50,14,14
tisora,Unknown,336,"['jett', 'raze', 'chamber']",1082,0.96,223.3,0.99,66%,143.5,0.78,0.19,0.16,0.19,21%,24%,,,840,849,210,178,208
titanjr,Unknown,25,"['viper', 'omen', 'kayo', 'gekko', 'fade']",404,0.94,194.5,0.89,65%,127.6,0.67,0.31,0.08,0.08,27%,10%,,,271,304,126,31,34
tixx,Unknown,172,"['omen', 'astra', 'viper', 'brimstone', 'jett']",382,1.06,192.4,0.98,75%,128.0,0.66,0.43,0.09,0.06,28%,19%,,,253,257,164,35,24
tkzin,Furious Gaming,31,"['jett', 'raze', 'kayo', 'fade', 'sova']",267,0.77,172.3,0.73,64%,112.7,0.59,0.24,0.11,0.15,28%,12%,,,157,214,64,29,41
tmy,Suicide Squad,169,"['cypher', 'killjoy', 'viper', 'omen', 'brimstone']",860,0.79,170.2,0.77,59%,118.7,0.59,0.19,0.08,0.13,23%,7%,,,508,664,162,69,116
tommy,Unknown,296,"['skye', 'breach', 'sova', 'killjoy', 'kayo']",209,0.93,189.8,0.88,69%,129.7,0.67,0.24,0.06,0.04,30%,16%,,,140,159,50,11,8
tonbo,Murash Gaming,141,"['sova', 'cypher', 'killjoy', 'sage']",962,1.06,205.6,1.02,70%,137.5,0.73,0.23,0.08,0.06,31%,18%,,,703,686,226,79,56
toozy,VisionZ,416,"['omen', 'viper', 'astra', 'brimstone']",232,0.87,166.5,0.77,73%,112.0,0.55,0.46,0.05,0.09,28%,26%,,,128,167,106,11,21
torrify,Unknown,356,"['killjoy', 'cypher', 'breach', 'kayo', 'jett']",334,0.99,176.6,0.95,74%,117.6,0.63,0.37,0.07,0.07,26%,14%,,,209,221,124,24,22
touven,Galatasaray Esports,268,"['sova', 'jett', 'raze', 'breach', 'omen']",821,0.98,197.2,0.92,70%,134.3,0.67,0.33,0.09,0.12,27%,9%,,,553,600,274,70,100
toy,Please Don't Fire,65,"['breach', 'jett', 'omen', 'skye', 'brimstone']",212,0.85,165.4,0.86,71%,105.5,0.61,0.31,0.03,0.03,29%,10%,,,130,152,66,7,7
tr1x,Ivy League Gaming,74,"['jett', 'reyna', 'killjoy', 'kayo', 'raze']",324,0.75,162.4,0.69,63%,102.7,0.56,0.30,0.08,0.12,30%,25%,,,180,261,98,25,38
treelover,ESC Gaming,246,"['omen', 'astra', 'viper', 'brimstone', 'sova']",584,0.88,166.2,0.79,67%,112.7,0.57,0.31,0.07,0.09,31%,11%,,,333,420,183,39,55
trick,Unknown,466,"['sova', 'raze', 'skye', 'kayo', 'viper']",400,0.99,212.4,0.98,72%,138.0,0.72,0.35,0.12,0.11,25%,6%,,,288,293,138,48,44
trinxty,Unknown,62,"['raze', 'jett', 'reyna']",698,0.90,223.7,0.95,67%,142.5,0.77,0.16,0.19,0.19,27%,2%,,,535,563,111,132,136
tripciew,Rapid Lofi,80,"['sova', 'breach', 'viper', 'omen', 'sage']",382,0.85,176.9,0.80,68%,117.2,0.60,0.29,0.07,0.13,31%,17%,,,229,285,109,25,50
tripsy,Melilla Titans,65,"['killjoy', 'cypher', 'breach', 'viper', 'kayo']",500,0.84,183.1,0.85,67%,128.2,0.65,0.22,0.08,0.10,27%,19%,,,324,380,109,38,48
troublemaker,xProjekt,83,"['skye', 'sova', 'omen', 'cypher', 'sage']",362,0.95,176.2,0.87,66%,118.4,0.61,0.30,0.06,0.09,27%,14%,,,220,254,110,20,31
tryst,Medal Esports,196,"['killjoy', 'viper', 'kayo', 'breach', 'omen']",734,0.95,183.6,0.91,71%,119.1,0.66,0.35,0.06,0.07,29%,17%,,,487,536,260,44,53
tsuya,Unknown,494,"['jett', 'raze', 'sova', 'chamber']",275,1.02,228.9,1.00,74%,148.5,0.79,0.25,0.19,0.18,20%,23%,,,216,215,68,51,50
tuli,Unknown,204,"['raze', 'jett', 'sage', 'neon']",896,1.01,225.1,1.07,71%,150.7,0.79,0.16,0.17,0.15,29%,10%,,,709,662,147,150,135
tupai,DIS Esports,46,"['sova', 'cypher', 'reyna', 'skye', 'jett']",219,0.72,188.8,0.68,60%,126.8,0.62,0.18,0.16,0.13,28%,6%,,,135,198,40,34,28
turko,Fire Flux Esports,319,"['sage', 'killjoy', 'brimstone', 'skye', 'cypher']",818,1.10,203.2,1.15,75%,133.5,0.72,0.25,0.09,0.07,33%,20%,,,593,516,206,72,58
tweethy,genziary,136,"['killjoy', 'cypher', 'viper', 'sova', 'chamber']",242,0.84,167.7,0.80,68%,109.2,0.60,0.19,0.04,0.11,29%,12%,,,144,179,47,10,27
umaruchans,XOXO-01,33,"['killjoy', 'skye', 'gekko']",220,1.06,213.3,0.99,69%,144.7,0.76,0.20,0.08,0.06,35%,10%,,,167,169,45,18,14
umu7,Papara SuperMassive,72,"['jett', 'raze', 'yoru', 'cypher']",1003,0.97,213.3,1.01,70%,140.2,0.75,0.18,0.15,0.13,24%,17%,,,750,745,180,154,126
unfair,Unknown,51,"['sova', 'reyna', 'jett', 'chamber', 'cypher']",232,1.05,216.0,1.09,69%,150.1,0.78,0.15,0.10,0.09,33%,7%,,,182,167,35,24,20
unfake,Zerance,309,"['sova', 'skye', 'killjoy', 'breach']",763,0.99,189.0,1.00,70%,124.2,0.69,0.27,0.08,0.09,36%,18%,,,523,525,203,58,68
unhappy,Hungkuang Falcon,65,"['killjoy', 'cypher']",383,0.92,185.3,0.92,67%,126.3,0.67,0.14,0.08,0.04,29%,11%,,,255,277,53,29,17
urango,Galorys,224,"['kayo', 'raze', 'breach', 'sage', 'jett']",1650,0.90,195.0,0.90,69%,126.8,0.68,0.32,0.10,0.12,28%,11%,,,1114,1236,521,161,205
uta,Unknown,187,"['jett', 'killjoy', 'cypher', 'raze', 'omen']",411,1.09,209.6,1.10,69%,138.4,0.74,0.25,0.15,0.13,26%,9%,,,305,277,103,61,52
